,station_id,record_start,record_end,years_on_record,percent_missing,Type,Lat,Lon,Elv,Status,distance_to_coast
0,003_BL_Ar,1984-01,2023-01,39.0,0.75,Veneto-05min,46.49998395,11.87607301,1642,OK,113.6647
1,009_BL_Ca,1985-01,2023-01,38.0,0.64,Veneto-05min,46.44043805,11.99004162,1007,OK,104.2038
2,011_BL_Ma,1986-01,2023-01,37.0,0.61,Veneto-05min,46.42867129,11.90478762,1475,OK,105.5309
3,015_BL_Ga,1985-01,2023-01,38.0,0.49,Veneto-05min,46.3131289,11.88273666,1365,OK,94.8058
4,019_BL_Ag,1988-01,2023-01,35.0,0.64,Veneto-05min,46.27804651,12.03319083,585,OK,86.2206
5,022_BL_Sa,1988-09,2023-01,34.32,0.65,Veneto-05min,46.04834616,12.15448034,544,OK,59.0755
6,025_BL_So,1985-01,2023-01,38.0,0.88,Veneto-05min,46.14063559,12.07539462,426,OK,70.95639999999999
7,048_BL_Po,1990-01,2023-01,33.0,0.41,Veneto-05min,46.59362172,12.11232905,1316,OK,117.6492
8,056_BL_Fo,1986-01,2023-01,36.97,0.46,Veneto-05min,46.34666725,12.1845653,872,OK,89.7095
9,058_BL_Sa,1987-03,2023-01,35.84,0.28,Veneto-05min,46.55719592,12.55254488,902,OK,98.0267
10,059_BL_Do,1988-09,2023-01,34.31,0.46,Veneto-05min,46.46094955,12.41035969,822,OK,94.6068
11,076_VI_Tu,1986-07,2023-01,36.48,0.86,Veneto-05min,45.70401092,11.18480016,714,OK,82.7204
12,091_BL_Pa,1988-01,2023-01,35.0,0.57,Veneto-05min,46.65215334,12.42397152,1621,OK,111.9813
13,093_BL_To,1986-11,2023-01,36.15,0.68,Veneto-05min,46.15155195,12.36301566,593,OK,65.2115
14,096_RO_Ba,1989-01,2023-01,33.97,0.81,Veneto-05min,44.98944662,11.52950565,6,OK,57.6021
15,101_RO_Po,1989-04,2023-01,33.7,0.56,Veneto-05min,44.9173386,12.36910037,-3,OK,4.560899999999999
16,104_VR_Vi,1990-11,2023-01,32.11,0.58,Veneto-05min,45.3724202,10.83262812,67,OK,102.6398
17,105_VI_Lo,1990-11,2023-01,32.16,0.66,Veneto-05min,45.39045584,11.37964132,29,OK,59.773300000000006
18,112_RO_Ro,1992-02,2023-01,30.87,0.27,Veneto-05min,45.07114136,12.26177816,-2,OK,2.5791
19,114_RO_Vi,1992-03,2023-01,30.83,0.87,Veneto-05min,45.07144877,11.92220596,0,OK,27.0152
20,115_RO_Ad,1992-02,2023-01,30.86,0.39,Veneto-05min,45.01567605,12.0076803,-1,OK,23.5165
21,116_RO_Fr,1992-03,2023-01,30.83,0.59,Veneto-05min,44.99058314,11.6786399,4,OK,47.88
22,117_VR_So,1992-03,2023-01,30.83,0.38,Veneto-05min,45.21753966,11.00830055,24,OK,89.7255
23,118_VR_Ba,1991-12,2023-01,31.08,0.26,Veneto-05min,45.51796066,10.7659099,160,OK,108.6995
24,120_VR_Do,1991-12,2023-01,31.08,0.45,Veneto-05min,45.59957097,10.84874997,105,OK,103.8928
25,123_VR_Ar,1991-11,2023-01,31.16,0.9,Veneto-05min,45.37550277,11.29582046,27,OK,66.3564
26,125_VR_Sa,1991-12,2023-01,31.08,0.34,Veneto-05min,45.50931262,10.88807026,127,OK,99.1084
27,126_VR_Il,1992-01,2023-01,31.0,0.37,Veneto-05min,45.46030398,11.17156147,144,OK,76.46010000000001
28,127_VR_Bu,1991-12,2023-01,31.06,0.91,Veneto-05min,45.35084342,11.01059728,39,OK,88.6592
29,128_VR_Gr,1992-02,2023-01,30.91,0.7,Veneto-05min,45.50976063,11.0135023,156,OK,89.40610000000001
30,129_VR_Ca,1991-12,2023-01,31.08,0.7,Veneto-05min,45.45487236,10.77166288,120,OK,107.5925
31,134_VI_Ma,1992-04,2023-01,30.75,0.41,Veneto-05min,45.66931288,11.46439144,98,OK,61.6152
32,135_VI_Ri,1991-11,2023-01,31.13,0.47,Veneto-05min,45.71889138,11.18131677,1130,OK,83.6742
33,137_VI_Va,1991-12,2023-01,31.07,0.63,Veneto-05min,45.75778254,11.21365428,602,OK,83.4436
34,139_VI_Lu,1991-11,2023-01,31.13,0.27,Veneto-05min,45.78414598,11.58812049,767,OK,61.8567
35,140_VI_Pa,1991-11,2023-01,31.13,0.46,Veneto-05min,45.6198264,11.25910319,807,OK,73.7736
36,144_VI_Ro,1991-11,2023-01,31.15,0.2,Veneto-05min,45.71658505,11.77625641,88,OK,45.945800000000006
37,145_VI_Ba,1992-02,2023-01,30.89,0.5,Veneto-05min,45.39775173,11.57053751,16,OK,44.8363
38,147_VI_Br,1991-12,2023-01,31.07,0.26,Veneto-05min,45.72042777,11.57629665,196,OK,57.737300000000005
39,148_VI_Br,1991-12,2023-01,31.08,0.53,Veneto-05min,45.472092,11.46922467,80,OK,53.5669
40,149_VI_Mo,1991-12,2023-01,31.06,0.71,Veneto-05min,45.44957583,11.66198536,22,OK,38.2854
41,159_VE_Po,1992-02,2023-01,30.91,0.57,Veneto-05min,45.74548888,12.76128681,2,OK,15.0697
42,163_VE_No,1992-02,2023-01,30.9,0.55,Veneto-05min,45.66841156,12.58851069,1,OK,10.3197
43,165_VE_Fo,1992-02,2023-01,30.91,0.65,Veneto-05min,45.77566742,12.89394125,3,OK,13.0557
44,166_VE_Lu,1992-02,2023-01,30.91,0.92,Veneto-05min,45.70491156,12.94668823,0,OK,5.873399999999999
45,167_VE_Mi,1992-02,2023-01,30.89,0.65,Veneto-05min,45.43934709,12.1169216,3,OK,5.9963
46,168_VE_Ch,1992-02,2023-01,30.91,0.48,Veneto-05min,45.14632401,12.27596996,0,OK,2.9438
47,169_PD_Ag,1992-02,2023-01,30.86,0.79,Veneto-05min,45.15926189,11.95775646,1,OK,19.0356
48,170_PD_Te,1992-02,2023-01,30.86,0.34,Veneto-05min,45.34272761,11.67713457,155,OK,36.4199
49,175_PD_Co,1992-02,2023-01,30.87,0.54,Veneto-05min,45.24367259,12.09970856,0,OK,4.6669
50,179_PD_Ca,1993-01,2023-01,30.0,0.81,Veneto-05min,45.49551578,11.91336346,16,OK,21.654400000000003
51,183_TV_Vo,1992-02,2023-01,30.9,0.3,Veneto-05min,45.78502414,12.11304779,122,OK,36.0425
52,184_TV_Ze,1992-02,2023-01,30.91,0.75,Veneto-05min,45.59066694,12.1748348,12,OK,14.694
53,185_TV_Va,1992-02,2023-01,30.91,0.6,Veneto-05min,45.81168647,12.34189762,40,OK,29.2203
54,186_TV_Ga,1992-02,2023-01,30.91,0.27,Veneto-05min,45.89217558,12.49348723,17,OK,35.0215
55,187_TV_Ro,1992-02,2023-01,30.91,0.43,Veneto-05min,45.64140487,12.39588815,7,OK,10.2451
56,188_TV_Vi,1992-02,2023-01,30.91,0.68,Veneto-05min,45.74894328,12.23496228,41,OK,27.3815
57,189_TV_Va,1992-02,2023-01,30.91,0.44,Veneto-05min,45.88205751,12.0070972,225,OK,49.569300000000005
58,190_VI_Br,1991-08,2023-01,31.38,0.29,Veneto-05min,45.80132477,11.34330714,331,OK,77.5676
59,191_VI_Mo,1991-08,2023-01,31.41,0.21,Veneto-05min,45.83331375,11.25603835,623,OK,85.1496
60,195_TV_Fa,1992-02,2023-01,30.91,0.69,Veneto-05min,45.9021246,12.10445916,169,OK,47.0016
61,196_TV_Od,1992-06,2023-01,30.57,0.4,Veneto-05min,45.76569434,12.52427035,7,OK,20.7827
62,197_TV_Ma,1992-04,2023-01,30.75,0.43,Veneto-05min,45.77892133,11.94236996,100,OK,41.8915
63,199_BL_Lo,1991-11,2023-01,31.16,0.29,Veneto-05min,46.26152058,12.30351169,435,OK,78.17280000000001
64,200_BL_La,1991-11,2023-01,31.16,0.26,Veneto-05min,46.04985912,11.74647606,650,OK,75.4411
65,203_BL_Pa,1993-01,2023-01,30.0,0.4,Veneto-05min,46.33914263,11.80160227,2042,OK,100.4307
66,216_BL_Ca,1992-11,2023-01,30.15,0.29,Veneto-05min,46.07747932,12.41476528,1022,OK,56.3299
67,236_BL_Sa,1992-05,2023-01,30.64,0.38,Veneto-05min,46.18043287,12.39682227,828,OK,67.8353
68,237_BL_Co,1992-06,2023-01,30.58,0.14,Veneto-05min,46.53668964,12.12739699,1271,OK,111.241
69,246_BL_Co,1992-12,2023-01,30.08,0.28,Veneto-05min,46.57877599,12.57556615,1232,OK,99.3964
70,247_BL_Ca,1992-12,2023-01,30.05,0.46,Veneto-05min,46.59389393,12.51561664,1342,OK,102.9497
