station_id,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17
003_BL_Ar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
009_BL_Ca,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
011_BL_Ma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
015_BL_Ga,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
019_BL_Ag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
022_BL_Sa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
025_BL_So,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
048_BL_Po,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
056_BL_Fo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
058_BL_Sa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
059_BL_Do,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
076_VI_Tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
091_BL_Pa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
093_BL_To,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
096_RO_Ba,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
101_RO_Po,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
104_VR_Vi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
105_VI_Lo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
112_RO_Ro,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
114_RO_Vi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
115_RO_Ad,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
116_RO_Fr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
117_VR_So,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
118_VR_Ba,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
120_VR_Do,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
123_VR_Ar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
125_VR_Sa,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
126_VR_Il,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
127_VR_Bu,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
128_VR_Gr,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
129_VR_Ca,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
134_VI_Ma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
135_VI_Ri,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
137_VI_Va,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
139_VI_Lu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
140_VI_Pa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
144_VI_Ro,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
145_VI_Ba,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
147_VI_Br,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
148_VI_Br,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
149_VI_Mo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
159_VE_Po,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
163_VE_No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
165_VE_Fo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
166_VE_Lu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
167_VE_Mi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
168_VE_Ch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
169_PD_Ag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
170_PD_Te,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
175_PD_Co,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179_PD_Ca,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
183_TV_Vo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
184_TV_Ze,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
185_TV_Va,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
186_TV_Ga,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
187_TV_Ro,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
188_TV_Vi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
189_TV_Va,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
190_VI_Br,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
191_VI_Mo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
195_TV_Fa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
196_TV_Od,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
197_TV_Ma,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
199_BL_Lo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
200_BL_La,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
203_BL_Pa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
216_BL_Ca,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
236_BL_Sa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
237_BL_Co,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
246_BL_Co,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
247_BL_Ca,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
