station_id,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17
003_BL_Ar,1.4054182309581307,1.405103884062187,1.3964615699574077,1.384489830997565,1.3793557369804104,1.3870037895857372,1.383128506360101,1.3888076630386668,1.4083022619092809,,,,,,,,
009_BL_Ca,1.410511460047437,1.4144153300177664,1.4027952549358043,1.381329670943348,1.3919770720450952,1.3892331468690369,1.4011818618186376,1.3924032961931267,1.417357273786769,,,,,,,,
011_BL_Ma,1.3914898200308352,1.3930616292607931,1.3947252166600574,1.383766415000849,1.3812999500711367,1.3751719164054288,1.390705235825378,1.4002693817142486,1.3981696385616411,,,,,,,,
015_BL_Ga,1.4048321546680016,1.3914270234213804,1.3904508492882262,1.3720786220030767,1.3773047403132395,1.3721656927057182,1.3870139454806718,1.3977092990113962,1.3841460825129672,,,,,,,,
019_BL_Ag,1.4039761596980525,1.4086370991198771,1.39473442243539,1.39789930331209,1.3918609058433522,1.3973223102629126,1.4110364480730084,1.4325745828319945,1.4324646358272572,,,,,,,,
022_BL_Sa,1.4094103158987343,1.4029004880020195,1.4023721347836298,1.3889621448878264,1.3955800475430749,1.3992104178854736,1.4160833532133703,1.4339857042318715,1.4187909516928965,,,,,,,,
025_BL_So,1.4055431162143115,1.4092493851424193,1.3965326112027674,1.3965407475370684,1.4003069661746637,1.3979016417719445,1.3880979046187853,1.6518896675473824,1.396978947893319,,,,,,,,
048_BL_Po,1.4100122427844668,1.4073514810332235,1.3920763632178994,1.3872025305373,1.367696097388707,1.3725995370348814,1.3838990271818334,1.3884506989388912,1.389235625660814,,,,,,,,
056_BL_Fo,1.4083183790686988,1.401004615305385,1.3978283424352143,1.381933992066119,1.3799913564419937,1.3715876273014298,1.3952668230946814,1.4238816024884247,1.6487709004689346,,,,,,,,
058_BL_Sa,1.4228150507010362,1.4194902779341583,1.4163613807478532,1.3945846370208401,1.3853975095428772,1.377936072882501,1.4069873828301103,1.38019394117008,1.385472571755401,,,,,,,,
059_BL_Do,1.421209273635582,1.412407331216574,1.411352897695223,1.399220448524515,1.3938164964500803,1.38973523597161,1.3814831590570151,1.3719487104057446,1.4016433131884345,1.4104903885937445,,,,,,,
076_VI_Tu,1.4045700777899184,1.4073554570186708,1.403290360749363,1.3890572012591116,1.3848369761441832,1.38683475703234,1.3959642351266328,1.385320628395421,1.4257591664302505,,,,,,,,
091_BL_Pa,1.413439765884872,1.4023478172449844,1.396117240649741,1.3899235889576167,1.388143584385746,1.393971113216819,1.378611481547634,1.3936342300218967,1.4150092103009668,1.4058613936259476,,,,,,,
093_BL_To,1.3999145017941792,1.4049370045328047,1.3971371589038744,1.4091740033573847,1.4060716136657174,1.4064175162052093,1.4068725631521564,1.421073144403297,,,,,,,,,
096_RO_Ba,1.4224047525835337,1.4382963148137522,1.4313584889320636,1.4205795070538805,1.42158837313846,1.4305160130164283,1.4091361088329224,1.419886104158884,,,,,,,,,
101_RO_Po,1.4291362180517289,1.419333129990191,1.430839867291053,1.4284330332160768,1.4302238265492944,1.4200665140021012,1.424279559978544,1.4246497612973275,,,,,,,,,
104_VR_Vi,1.4337913676059204,1.43730444199667,1.4154503591329781,1.4257265170575049,1.4201537478911646,1.4149364130142676,1.411854097713029,1.419980226294075,,,,,,,,,
105_VI_Lo,1.420864143070706,1.4369233263202634,1.4282098269538726,1.427930044660278,1.428976823217944,1.4257817159540482,1.4144861243574567,1.4219280276850343,1.376357578637178,1.3964679853154685,1.3744925276696478,1.3806265827586763,1.293170648571389,1.3012134605722239,1.2545913421614336,1.2013557303202504,
112_RO_Ro,1.4345694865342467,1.436947785069844,1.4301328495576255,1.43247771245636,1.4103970496860576,1.410925846198186,1.4301613451209423,1.4316424292573524,,,,,,,,,
114_RO_Vi,1.4365441179928173,1.4247688528651454,1.4362078229426025,1.429638028892838,1.4267333816264554,1.4270210046013794,1.417384023796307,1.417766769115545,,,,,,,,,
115_RO_Ad,1.4281171409289088,1.4420910896427128,1.441703134810906,1.432421485049397,1.4208286479737944,1.4185923148603503,1.4287334052633511,1.4090289575848751,1.3769313343554417,,,,,,,,
116_RO_Fr,1.4355498174770025,1.4352663881318166,1.4368385320134398,1.4365720813958969,1.4294959398998497,1.4271197098948494,1.4147784690111396,,,,,,,,,,
117_VR_So,1.431352799090003,1.4351319362457773,1.4398765296571385,1.426748254839297,1.4269526753187425,1.4339163799492112,,,,,,,,,,,
118_VR_Ba,1.426988729887693,1.430892841238545,1.4340058898210681,1.429775005808175,1.4156958480500197,1.4191692987848894,,,,,,,,,,,
120_VR_Do,1.4346583312055197,1.4345725590936875,1.4228082667261044,1.4176908549393057,1.4102300281077946,1.420868672505092,1.4106176533978714,,,,,,,,,,
123_VR_Ar,1.4350495304843536,1.4459645713816482,1.4296909171622059,1.435019495993942,1.4278793322935368,1.4193437123919048,1.3939539770032678,,,,,,,,,,
125_VR_Sa,1.4409255666955119,1.4383336010459593,1.4348313912816613,1.4331806327346537,1.4234039843464057,,,,,,,,,,,,
126_VR_Il,1.4296895654623718,1.4378772659346284,1.4385815277623495,1.4254428735616194,1.4218637013748798,1.411010182251878,,,,,,,,,,,
127_VR_Bu,1.4379457960375912,1.4404902247374511,1.4334927467373064,1.4248322733055487,1.4284539070426434,,,,,,,,,,,,
128_VR_Gr,1.4332452983367356,1.4302494551280875,1.4225449789901137,1.4261006974126638,1.4249089436281002,,,,,,,,,,,,
